episode,timestep,reward,episode_length
1,80,0.0,40.0
3,160,0.0,40.0
5,240,0.0,40.0
7,320,0.0,40.0
9,400,0.0,40.0
11,480,0.0,40.0
13,560,0.0,40.0
15,640,0.0,40.0
17,720,0.0,40.0
19,800,0.0,40.0
21,880,0.0,40.0
23,960,0.0,40.0
25,1040,0.0,40.0
27,1120,0.0,40.0
29,1200,0.0,40.0
31,1280,0.0,40.0
33,1360,0.0,40.0
35,1440,0.0,40.0
37,1520,0.0,40.0
39,1600,0.0,40.0
41,1680,0.0,40.0
43,1760,0.0,40.0
45,1840,0.0,40.0
47,1920,0.0,40.0
49,2000,0.0,40.0
51,2080,0.0,40.0
53,2160,0.0,40.0
55,2240,0.0,40.0
57,2320,0.0,40.0
59,2400,0.0,40.0
61,2480,0.0,40.0
63,2560,0.0,40.0
65,2640,0.0,40.0
67,2720,0.0,40.0
69,2800,0.0,40.0
71,2880,0.0,40.0
73,2960,0.0,40.0
75,3040,0.0,40.0
77,3120,0.0,40.0
79,3200,0.0,40.0
81,3280,0.0,40.0
83,3360,0.0,40.0
85,3440,0.0,40.0
87,3520,0.0,40.0
89,3600,0.0,40.0
91,3680,0.0,40.0
93,3760,0.0,40.0
95,3840,0.0,40.0
97,3920,0.0,40.0
99,4000,0.0,40.0
101,4080,0.0,40.0
103,4160,0.0,40.0
105,4240,0.0,40.0
107,4320,0.0,40.0
109,4400,0.0,40.0
111,4480,0.0,40.0
113,4560,0.0,40.0
115,4640,0.0,40.0
117,4720,0.0,40.0
119,4800,0.0,40.0
121,4880,0.0,40.0
123,4960,0.0,40.0
125,5040,0.0,40.0
127,5120,0.0,40.0
129,5200,0.0,40.0
131,5280,0.0,40.0
133,5360,0.0,40.0
135,5440,0.0,40.0
137,5520,0.0,40.0
139,5600,0.0,40.0
141,5680,0.0,40.0
143,5760,0.0,40.0
145,5840,0.0,40.0
147,5920,0.0,40.0
149,6000,0.0,40.0
151,6080,0.0,40.0
153,6160,0.0,40.0
155,6240,0.0,40.0
157,6320,0.0,40.0
159,6400,0.0,40.0
161,6480,0.0,40.0
163,6560,0.0,40.0
165,6640,0.0,40.0
167,6720,0.0,40.0
169,6800,0.0,40.0
171,6880,0.0,40.0
173,6960,0.0,40.0
175,7040,0.0,40.0
177,7120,0.0,40.0
179,7200,0.0,40.0
181,7280,0.0,40.0
183,7360,0.0,40.0
185,7440,0.0,40.0
187,7520,0.0,40.0
189,7600,0.0,40.0
191,7680,0.0,40.0
193,7760,0.0,40.0
195,7840,0.0,40.0
197,7920,0.0,40.0
199,8000,0.0,40.0
201,8080,0.0,40.0
203,8160,0.0,40.0
205,8240,0.0,40.0
207,8320,0.0,40.0
209,8400,0.0,40.0
211,8480,0.0,40.0
213,8560,0.0,40.0
215,8640,0.0,40.0
217,8720,0.0,40.0
219,8800,0.0,40.0
221,8880,0.0,40.0
223,8960,0.0,40.0
225,9040,0.0,40.0
227,9120,0.0,40.0
229,9200,0.0,40.0
231,9280,0.0,40.0
233,9360,0.0,40.0
235,9440,0.0,40.0
237,9520,0.0,40.0
239,9600,0.0,40.0
241,9680,0.0,40.0
243,9760,0.0,40.0
245,9840,0.0,40.0
247,9920,0.0,40.0
249,10000,0.0,40.0
251,10080,0.0,40.0
253,10160,0.0,40.0
255,10240,0.0,40.0
257,10320,0.0,40.0
259,10400,0.0,40.0
261,10480,0.0,40.0
263,10560,0.0,40.0
265,10640,0.0,40.0
267,10720,0.0,40.0
269,10800,0.0,40.0
271,10880,0.0,40.0
273,10960,0.0,40.0
275,11040,0.0,40.0
277,11120,0.0,40.0
279,11200,0.0,40.0
281,11280,0.0,40.0
283,11360,0.0,40.0
285,11440,0.0,40.0
287,11520,0.0,40.0
289,11600,0.0,40.0
291,11680,0.0,40.0
293,11760,0.0,40.0
295,11840,0.0,40.0
297,11920,0.0,40.0
299,12000,0.0,40.0
301,12080,0.0,40.0
303,12160,0.0,40.0
305,12240,0.0,40.0
307,12320,0.0,40.0
309,12400,0.0,40.0
311,12480,0.0,40.0
313,12560,0.0,40.0
315,12640,0.0,40.0
317,12720,0.0,40.0
319,12800,0.0,40.0
321,12880,0.0,40.0
323,12960,0.0,40.0
325,13040,0.0,40.0
327,13120,0.0,40.0
329,13200,0.0,40.0
331,13280,0.0,40.0
333,13360,0.0,40.0
335,13440,0.0,40.0
337,13520,0.0,40.0
339,13600,0.0,40.0
341,13680,0.0,40.0
343,13760,0.0,40.0
345,13840,0.0,40.0
347,13920,0.0,40.0
349,14000,0.0,40.0
351,14080,0.0,40.0
353,14160,0.0,40.0
355,14240,0.0,40.0
357,14320,0.0,40.0
359,14400,0.0,40.0
361,14480,0.0,40.0
363,14560,0.0,40.0
365,14640,0.0,40.0
367,14720,0.0,40.0
369,14800,0.0,40.0
371,14880,0.0,40.0
373,14960,0.0,40.0
375,15040,0.0,40.0
377,15120,0.0,40.0
379,15200,0.0,40.0
381,15280,0.0,40.0
383,15360,0.0,40.0
385,15440,0.0,40.0
387,15520,0.0,40.0
389,15600,0.0,40.0
391,15680,0.0,40.0
393,15760,0.0,40.0
395,15840,0.0,40.0
397,15920,0.0,40.0
399,16000,0.0,40.0
401,16080,0.0,40.0
403,16160,0.0,40.0
405,16240,0.0,40.0
407,16320,0.0,40.0
409,16400,0.0,40.0
411,16480,0.0,40.0
413,16560,0.0,40.0
415,16640,0.0,40.0
417,16720,0.0,40.0
419,16800,0.0,40.0
