episode,timestep,reward,episode_length
1,80,0.0,40.0
3,160,0.0,40.0
5,240,0.0,40.0
7,320,0.0,40.0
9,400,0.0,40.0
11,480,0.0,40.0
13,560,0.0,40.0
15,640,0.0,40.0
17,720,0.0,40.0
19,800,0.0,40.0
21,880,0.0,40.0
23,960,0.0,40.0
25,1040,0.0,40.0
27,1120,0.0,40.0
29,1200,0.0,40.0
31,1280,0.0,40.0
33,1360,0.0,40.0
35,1440,0.0,40.0
37,1520,0.0,40.0
39,1600,0.0,40.0
41,1680,0.0,40.0
43,1760,0.0,40.0
45,1840,0.0,40.0
47,1920,0.0,40.0
49,2000,0.0,40.0
51,2080,0.0,40.0
53,2160,0.0,40.0
55,2240,0.0,40.0
57,2320,0.0,40.0
59,2400,0.0,40.0
61,2480,0.0,40.0
63,2560,0.0,40.0
65,2640,0.0,40.0
67,2720,0.0,40.0
69,2800,0.0,40.0
71,2880,0.0,40.0
73,2960,0.0,40.0
75,3040,0.0,40.0
77,3120,0.0,40.0
79,3200,0.0,40.0
81,3280,0.0,40.0
83,3360,0.0,40.0
85,3440,0.0,40.0
87,3520,0.0,40.0
89,3600,0.0,40.0
91,3680,0.0,40.0
93,3760,0.0,40.0
95,3840,0.0,40.0
97,3920,0.0,40.0
99,4000,0.0,40.0
102,4080,0.3333,37.3333
104,4160,0.0,40.0
106,4240,0.0,40.0
108,4320,0.5,28.0
110,4400,0.0,40.0
112,4480,0.5,39.0
114,4560,0.0,40.0
117,4640,0.3333,34.6667
119,4720,0.5,34.0
121,4800,0.5,34.5
123,4880,1.0,37.0
126,4960,0.6667,31.3333
128,5040,0.5,37.5
130,5120,0.5,37.5
133,5200,0.6667,28.0
136,5280,0.3333,32.3333
139,5360,0.6667,30.3333
141,5440,0.0,40.0
144,5520,1.0,23.6667
146,5600,1.0,26.5
149,5680,0.6667,31.3333
152,5760,1.0,32.6667
156,5840,1.0,19.25
160,5920,1.0,18.0
164,6000,1.0,22.75
167,6080,1.0,28.3333
170,6160,1.0,26.0
174,6240,1.0,17.25
178,6320,1.0,20.0
182,6400,1.0,19.5
186,6480,1.0,21.75
189,6560,0.6667,29.6667
191,6640,1.0,23.0
194,6720,0.6667,31.0
196,6800,1.0,31.0
202,6880,0.8333,19.6667
205,6960,1.0,23.6667
207,7040,1.0,26.5
212,7120,0.8,20.8
215,7200,1.0,23.0
220,7280,1.0,19.6
225,7360,1.0,15.4
229,7440,1.0,21.25
234,7520,1.0,15.8
238,7600,1.0,19.5
242,7680,1.0,19.5
246,7760,1.0,21.5
249,7840,0.6667,24.6667
254,7920,1.0,17.8
258,8000,1.0,18.25
260,8080,0.5,38.0
264,8160,1.0,19.0
269,8240,1.0,18.0
273,8320,1.0,18.5
278,8400,1.0,15.6
282,8480,1.0,19.75
287,8560,1.0,15.2
292,8640,1.0,19.0
295,8720,1.0,26.6667
298,8800,1.0,20.0
304,8880,1.0,17.1667
308,8960,1.0,19.25
312,9040,1.0,18.5
316,9120,0.75,21.25
321,9200,1.0,15.8
325,9280,1.0,20.0
330,9360,1.0,16.4
334,9440,1.0,17.5
337,9520,1.0,25.3333
341,9600,1.0,18.5
346,9680,1.0,20.2
348,9760,0.5,29.5
352,9840,1.0,21.25
357,9920,1.0,17.8
361,10000,1.0,20.5
365,10080,1.0,19.75
368,10160,0.6667,26.0
371,10240,1.0,19.0
376,10320,1.0,20.2
381,10400,1.0,17.8
386,10480,1.0,16.2
390,10560,1.0,18.0
395,10640,1.0,14.8
399,10720,1.0,15.75
404,10800,0.8,20.4
410,10880,1.0,14.0
415,10960,1.0,17.0
420,11040,1.0,14.6
426,11120,1.0,14.1667
432,11200,1.0,13.6667
435,11280,0.6667,23.0
441,11360,1.0,14.5
446,11440,1.0,16.4
449,11520,0.6667,25.6667
454,11600,1.0,15.0
460,11680,1.0,13.6667
465,11760,1.0,17.4
468,11840,1.0,22.0
473,11920,1.0,16.4
478,12000,1.0,18.0
483,12080,1.0,15.2
488,12160,1.0,17.0
492,12240,1.0,19.0
497,12320,1.0,16.6
501,12400,1.0,17.75
506,12480,1.0,16.0
511,12560,1.0,17.8
516,12640,1.0,15.2
520,12720,0.75,20.5
524,12800,0.75,20.5
529,12880,1.0,15.4
534,12960,1.0,17.0
540,13040,1.0,13.5
545,13120,1.0,15.6
549,13200,1.0,19.25
554,13280,1.0,14.6
560,13360,1.0,14.3333
566,13440,1.0,14.3333
571,13520,1.0,14.6
576,13600,1.0,17.2
581,13680,1.0,15.2
585,13760,0.75,19.0
591,13840,1.0,14.5
597,13920,1.0,13.1667
602,14000,1.0,14.4
608,14080,1.0,13.8333
613,14160,1.0,16.8
618,14240,1.0,15.8
624,14320,1.0,14.0
629,14400,1.0,16.6
634,14480,1.0,14.4
640,14560,1.0,14.1667
644,14640,0.75,20.25
649,14720,1.0,15.2
654,14800,1.0,16.4
659,14880,1.0,15.6
664,14960,1.0,16.2
668,15040,0.75,21.25
673,15120,1.0,14.6
679,15200,1.0,14.3333
684,15280,1.0,14.2
690,15360,1.0,13.8333
695,15440,1.0,15.4
701,15520,1.0,14.1667
707,15600,1.0,13.3333
713,15680,1.0,13.3333
718,15760,1.0,15.0
724,15840,1.0,12.6667
731,15920,1.0,13.2857
736,16000,1.0,15.2
742,16080,1.0,13.8333
747,16160,1.0,14.0
754,16240,1.0,13.1429
760,16320,1.0,13.1667
765,16400,1.0,14.0
771,16480,1.0,15.1667
